frame team p1_x p1_y p2_x p2_y type
55 Brazil 493 298 652 375 pass
101 Brazil 641 418 696 592 pass
168 Brazil 580 668 493 682 pass
443 Brazil 448 661 295 646 pass
511 Brazil 360 674 410 685 pass
799 Argentina 267 479 466 493 pass
820 Argentina 489 485 407 436 pass
936 Argentina 579 301 638 151 pass
1210 Argentina 587 373 552 467 pass
1337 Argentina 604 679 480 580 pass
1387 Argentina 464 572 605 497 pass
1428 Argentina 639 490 726 610 pass
1461 Argentina 736 578 773 464 pass
1586 Argentina 796 289 599 231 pass
3760 Brazil 407 106 383 165 pass
3913 Brazil 396 86 477 133 pass
3984 Brazil 439 148 333 111 pass
4180 Brazil 253 314 437 486 pass
4273 Brazil 445 633 359 635 pass
4662 Argentina 636 612 628 613 pass
4708 Brazil 616 572 619 611 intercept
4824 Brazil 632 510 722 302 pass
4942 Brazil 615 222 204 605 pass
4967 Brazil 190 611 298 502 pass
5089 Brazil 354 410 272 420 pass
5174 Argentina 252 514 220 517 intercept
5235 Argentina 242 549 599 599 pass
5858 Argentina 607 627 708 684 pass
5945 Brazil 657 606 723 598 intercept
6002 Brazil 638 627 604 696 pass
6502 Argentina 687 661 712 636 intercept
6803 Brazil 854 497 836 418 intercept
6865 Brazil 788 324 823 160 pass
6945 Brazil 831 119 891 222 pass
6991 Brazil 898 261 955 420 pass
7114 Brazil 829 572 771 669 pass
7652 Brazil 837 543 766 548 intercept
7732 Brazil 734 394 836 232 pass
7851 Brazil 682 148 354 37 pass
7999 Brazil 127 114 158 177 pass
8017 Brazil 171 195 103 127 pass
8046 Brazil 88 159 165 201 pass
8137 Argentina 237 162 508 358 intercept
8138 Argentina 509 357 218 84 pass
8150 Argentina 217 77 217 77 pass
8497 Argentina 269 46 180 50 pass
8558 Argentina 92 72 4 227 pass
8751 Brazil 23 325 312 466 intercept
8989 Argentina 163 557 149 480 intercept
9020 Argentina 198 467 356 392 pass
9887 Brazil 658 223 625 149 intercept
9996 Brazil 681 212 732 100 pass
10027 Brazil 739 109 690 206 pass
10117 Brazil 735 257 941 213 pass
10161 Brazil 928 187 879 70 pass
10194 Brazil 898 62 906 160 pass
10240 Brazil 878 164 620 51 pass
10289 Brazil 627 31 692 73 pass
10327 Brazil 720 14 789 59 pass
10408 Brazil 731 122 688 -2 pass
10542 Brazil 521 153 615 466 pass
10551 Brazil 595 469 572 571 pass
10676 Argentina 704 626 637 671 intercept
10763 Argentina 635 632 950 643 pass
11471 Argentina 560 264 559 258 pass
11588 Argentina 650 141 653 205 pass
11734 Argentina 851 182 743 298 pass
11818 Brazil 735 360 998 346 intercept
11945 Brazil 966 306 942 105 pass
12043 Brazil 914 101 859 171 pass
12147 Brazil 855 91 629 115 pass
12202 Argentina 539 171 459 171 intercept
12244 Argentina 427 191 396 470 pass
12302 Argentina 343 527 134 313 pass
12416 Argentina 146 309 287 52 pass
12856 Brazil 256 64 173 42 pass
13806 Brazil 270 36 171 -7 pass
14670 Argentina 486 431 519 390 pass
16318 Brazil 516 164 411 240 pass
16440 Argentina 385 296 401 485 intercept
16468 Brazil 357 486 343 503 intercept
16589 Brazil 98 604 86 317 pass
16651 Argentina 88 253 67 238 intercept
16829 Argentina 90 318 90 488 pass
16959 Brazil 225 548 460 538 intercept
17042 Brazil 398 449 295 292 pass
17957 Brazil 84 337 594 192 intercept
17963 Brazil 602 188 678 163 pass
18114 Argentina 629 101 539 146 intercept
18173 Argentina 472 89 430 109 pass
18200 Argentina 420 91 500 113 pass
18266 Argentina 559 146 603 217 pass
18290 Argentina 621 204 668 203 pass
18384 Brazil 777 334 836 318 intercept
18437 Brazil 822 410 781 477 pass
18563 Brazil 768 444 800 402 pass
18619 Argentina 803 440 770 424 intercept
18718 Brazil 770 556 674 628 intercept
18960 Argentina 390 564 316 570 intercept
19000 Argentina 328 577 325 415 pass
19040 Argentina 317 407 235 364 pass
19099 Argentina 219 341 156 491 pass
19230 Brazil 242 536 528 623 intercept
19555 Brazil 197 685 296 611 pass
19664 Argentina 382 523 528 495 intercept
19797 Brazil 786 572 909 596 intercept
19923 Argentina 843 573 751 625 intercept
20049 Argentina 899 605 902 657 pass
20098 Argentina 883 608 770 527 pass
20278 Brazil 719 469 1055 399 intercept
20475 Brazil 884 63 838 240 pass
20573 Brazil 728 254 759 558 pass
20644 Brazil 676 626 579 680 pass
20703 Brazil 565 648 660 659 pass
20750 Brazil 668 663 583 544 pass
20774 Brazil 578 527 531 572 pass
21001 Argentina 162 652 198 646 intercept
21081 Argentina 344 655 364 465 pass
21152 Argentina 425 585 376 665 pass
21207 Argentina 373 684 211 572 pass
21263 Argentina 170 576 56 390 pass
21412 Argentina 36 392 80 589 pass
21594 Argentina 218 573 456 663 pass
21633 Argentina 471 650 398 572 pass
21740 Argentina 411 461 568 62 pass
21970 Argentina 610 168 613 152 pass
22096 Argentina 639 167 582 215 pass
22176 Argentina 673 83 682 16 pass
22253 Argentina 657 13 454 142 pass
22311 Argentina 412 212 393 346 pass
22440 Argentina 416 436 173 327 pass
22723 Argentina 113 307 516 449 pass
22796 Argentina 566 452 663 314 pass
22873 Brazil 814 406 729 372 intercept
23412 Brazil 585 324 441 296 pass
23489 Brazil 532 302 708 220 pass
23570 Brazil 733 184 634 239 pass
23622 Argentina 666 285 553 328 intercept
23638 Argentina 566 326 701 355 pass
23667 Argentina 725 435 831 387 pass
23851 Brazil 1015 438 1005 618 intercept
24323 Argentina 584 584 533 147 pass
24435 Argentina 482 156 395 410 pass
24505 Argentina 435 417 648 522 pass
24554 Brazil 591 476 650 349 intercept
24669 Brazil 605 233 302 494 pass
24759 Argentina 356 467 407 476 intercept
24798 Argentina 458 457 485 382 pass
24839 Argentina 484 388 329 484 pass
24893 Argentina 308 503 317 335 pass
24918 Argentina 316 330 291 507 pass
25053 Argentina 351 562 591 574 pass
25159 Brazil 627 607 722 466 intercept
25259 Brazil 656 395 652 234 pass
25307 Brazil 624 215 651 87 pass
25414 Brazil 602 69 743 159 pass
25508 Brazil 719 228 577 445 pass
25550 Brazil 588 479 568 615 pass
25629 Brazil 519 613 399 543 pass
25671 Brazil 407 547 550 537 pass
25783 Brazil 532 408 581 121 pass
25885 Brazil 534 138 475 362 pass
26661 Argentina 483 455 442 564 pass
26783 Argentina 488 671 671 641 pass
27427 Brazil 636 582 667 577 intercept
27509 Brazil 637 467 251 466 pass
32622 Argentina 330 573 414 680 pass
32691 Brazil 447 667 657 630 intercept
33282 Argentina 912 663 951 553 pass
33868 Argentina 456 691 443 690 intercept
33924 Brazil 448 657 712 362 intercept
34023 Brazil 747 230 685 92 pass
34127 Brazil 735 178 765 392 pass
34195 Brazil 716 467 657 583 pass
34329 Argentina 495 616 436 632 intercept
34359 Argentina 437 645 378 523 pass
34491 Brazil 363 401 406 341 intercept
34550 Brazil 327 311 271 366 pass
34632 Brazil 216 314 101 420 pass
34686 Argentina 23 455 28 352 intercept
36219 Argentina 332 182 210 221 pass
36270 Argentina 199 228 289 151 pass
36503 Argentina 411 243 278 592 pass
36539 Argentina 332 633 466 688 pass
36583 Argentina 436 667 448 542 pass
36657 Argentina 504 477 380 503 pass
36706 Argentina 335 508 223 512 pass
36774 Argentina 132 621 421 649 pass
36958 Argentina 732 599 849 616 pass
37486 Argentina 818 383 728 208 pass
37683 Argentina 709 212 1040 624 pass
38675 Argentina 502 360 533 463 pass
38771 Argentina 798 440 873 544 pass
39947 Brazil 446 104 306 161 pass
40053 Argentina 309 269 201 291 intercept
40315 Argentina 284 395 283 147 pass
40332 Argentina 275 150 375 122 pass
40459 Argentina 345 122 185 145 pass
40556 Argentina 180 134 339 148 pass
40631 Argentina 294 186 161 108 pass
40843 Brazil 296 215 521 272 intercept
41078 Argentina 604 288 502 217 intercept
41125 Brazil 502 166 716 199 intercept
41180 Brazil 719 235 755 426 pass
41348 Argentina 691 595 349 605 intercept
41382 Argentina 313 606 235 522 pass
41884 Argentina 648 605 520 625 pass
41919 Argentina 506 582 622 502 pass
41977 Argentina 581 423 452 334 pass
42069 Argentina 452 246 486 115 pass
42184 Argentina 539 94 627 92 pass
42231 Argentina 626 163 672 191 pass
42278 Argentina 696 189 629 36 pass
42351 Argentina 616 4 555 101 pass
42422 Argentina 547 144 446 312 pass
42510 Argentina 476 352 535 159 pass
42862 Brazil 183 187 102 75 intercept
42929 Argentina 83 36 11 258 intercept
43347 Argentina 76 342 433 488 pass
43413 Argentina 467 541 475 674 pass
43666 Argentina 556 694 435 646 pass
43765 Argentina 345 558 315 294 pass
43834 Argentina 322 227 468 98 pass
43927 Argentina 481 46 342 203 pass
43962 Argentina 334 203 411 156 pass
44057 Argentina 447 226 406 500 pass
44153 Argentina 464 586 514 683 pass
44308 Argentina 539 661 766 631 pass
44496 Argentina 1015 617 952 611 pass
44553 Argentina 920 575 960 511 pass
44633 Argentina 916 522 956 520 pass
44967 Argentina 931 678 863 638 pass
45062 Argentina 873 671 645 611 pass
45099 Argentina 643 603 753 674 pass
45389 Brazil 757 649 825 672 pass
45532 Argentina 818 559 599 462 intercept
45573 Argentina 550 417 598 320 pass
45727 Argentina 503 493 568 656 pass
45800 Argentina 567 666 423 573 pass
45885 Argentina 468 575 709 664 pass
50371 Argentina 554 330 387 318 pass
50448 Argentina 408 412 421 622 pass
50731 Argentina 527 551 618 448 pass
50857 Brazil 752 551 878 624 intercept
50912 Brazil 813 620 704 671 pass
51021 Brazil 469 681 481 675 pass
51114 Brazil 619 670 712 637 pass
51167 Brazil 711 644 552 585 pass
51212 Brazil 472 580 433 688 pass
51230 Brazil 429 698 499 677 pass
51307 Brazil 372 542 365 493 pass
51379 Argentina 355 482 342 480 intercept
51510 Argentina 561 372 677 379 pass
51610 Brazil 737 235 843 213 intercept
52032 Argentina 527 296 321 392 pass
52489 Brazil 881 592 907 560 intercept
52510 Brazil 900 578 866 669 pass
53370 Brazil 863 637 746 533 pass
53593 Argentina 739 310 732 322 intercept
53640 Brazil 716 384 725 395 intercept
53733 Brazil 689 377 712 405 pass
53847 Argentina 676 363 626 528 intercept
53984 Argentina 816 502 1034 464 pass
54875 Argentina 306 280 363 206 pass
54950 Argentina 409 99 387 167 pass
54990 Argentina 368 149 418 88 pass
55056 Argentina 450 42 566 1 pass
55110 Argentina 549 16 465 38 pass
55178 Argentina 453 47 524 190 pass
55231 Argentina 512 158 542 45 pass
55269 Argentina 569 36 615 35 pass
55290 Brazil 600 92 618 46 intercept
55838 Brazil 451 192 438 420 pass
55969 Argentina 216 461 24 333 intercept
56655 Brazil 22 274 423 80 intercept
56996 Brazil 233 34 598 90 pass
57113 Brazil 718 92 561 -7 pass
57213 Brazil 503 -2 299 37 pass
57266 Brazil 289 -1 329 108 pass
57356 Brazil 259 180 47 22 pass
58515 Argentina 519 368 53 154 intercept
58552 Argentina 68 125 244 139 pass
58653 Argentina 366 137 675 288 pass
58712 Argentina 799 353 794 527 pass
60585 Brazil 686 13 603 144 pass
60665 Brazil 476 233 571 305 pass
60737 Brazil 494 383 459 552 pass
60855 Brazil 323 559 243 526 pass
60920 Argentina 268 441 272 447 intercept
61037 Argentina 307 431 356 491 pass
61198 Brazil 528 504 980 509 intercept
61503 Argentina 937 343 492 397 intercept
61541 Argentina 475 394 477 379 pass
61560 Argentina 499 371 558 456 pass
61644 Argentina 619 359 550 380 pass
61688 Argentina 540 371 543 426 pass
61765 Argentina 583 345 618 138 pass
61806 Argentina 652 142 650 190 pass
61875 Argentina 542 163 488 257 pass
61931 Argentina 495 217 536 137 pass
62062 Argentina 697 249 708 382 pass
62133 Argentina 812 379 904 502 pass
62194 Argentina 948 477 1000 588 pass
62702 Argentina 943 632 823 607 intercept
62725 Argentina 818 595 763 681 pass
62749 Argentina 762 688 718 608 pass
62784 Brazil 708 599 745 554 intercept
62830 Argentina 686 505 659 533 intercept
62846 Argentina 653 517 714 550 pass
62944 Argentina 634 540 534 593 pass
62991 Argentina 556 629 698 694 pass
63442 Argentina 733 661 754 457 intercept
64297 Brazil 590 403 625 417 intercept
64372 Brazil 567 501 610 589 pass
64533 Argentina 505 672 511 680 intercept
